# mesh name: boxMesh_1
# primitive scorer name: eD
# iX, iY, iZ, value 
0,0,0,0
0,0,1,0
0,0,2,1
0,0,3,4
0,0,4,7
0,0,5,6
0,0,6,1
0,0,7,2
0,0,8,3
0,0,9,3
0,0,10,0
0,0,11,0
0,0,12,2
0,0,13,1
0,0,14,0
0,0,15,0
0,0,16,0
0,0,17,1
0,0,18,1
0,0,19,2
0,0,20,4
0,0,21,2
0,0,22,1
0,0,23,0
0,0,24,2
0,0,25,1
0,0,26,1
0,0,27,2
0,0,28,1
0,0,29,1
0,0,30,1
0,0,31,3
0,0,32,3
0,0,33,1
0,0,34,1
0,0,35,1
0,0,36,0
0,0,37,1
0,0,38,2
0,0,39,2
0,0,40,2
0,0,41,0
0,0,42,3
0,0,43,0
0,0,44,1
0,0,45,1
0,0,46,0
0,0,47,0
0,0,48,1
0,0,49,1
0,0,50,2
0,0,51,1
0,0,52,0
0,0,53,0
0,0,54,0
0,0,55,2
0,0,56,3
0,0,57,1
0,0,58,0
0,0,59,0
0,0,60,0
0,0,61,0
0,0,62,1
0,0,63,0
0,0,64,0
0,0,65,0
0,0,66,0
0,0,67,0
0,0,68,1
0,0,69,0
0,0,70,0
0,0,71,1
0,0,72,0
0,0,73,0
0,0,74,0
0,0,75,1
0,0,76,1
0,0,77,1
0,0,78,1
0,0,79,1
1,0,0,1
1,0,1,0
1,0,2,1
1,0,3,1
1,0,4,1
1,0,5,5
1,0,6,4
1,0,7,2
1,0,8,1
1,0,9,4
1,0,10,3
1,0,11,1
1,0,12,2
1,0,13,3
1,0,14,2
1,0,15,1
1,0,16,1
1,0,17,2
1,0,18,2
1,0,19,4
1,0,20,3
1,0,21,2
1,0,22,1
1,0,23,0
1,0,24,1
1,0,25,2
1,0,26,1
1,0,27,1
1,0,28,0
1,0,29,2
1,0,30,2
1,0,31,1
1,0,32,0
1,0,33,0
1,0,34,0
1,0,35,1
1,0,36,1
1,0,37,1
1,0,38,2
1,0,39,2
1,0,40,4
1,0,41,1
1,0,42,2
1,0,43,0
1,0,44,0
1,0,45,1
1,0,46,0
1,0,47,1
1,0,48,1
1,0,49,0
1,0,50,2
1,0,51,2
1,0,52,0
1,0,53,0
1,0,54,1
1,0,55,1
1,0,56,1
1,0,57,1
1,0,58,0
1,0,59,0
1,0,60,0
1,0,61,0
1,0,62,1
1,0,63,0
1,0,64,0
1,0,65,0
1,0,66,0
1,0,67,1
1,0,68,1
1,0,69,0
1,0,70,0
1,0,71,1
1,0,72,0
1,0,73,0
1,0,74,1
1,0,75,1
1,0,76,1
1,0,77,2
1,0,78,2
1,0,79,2
2,0,0,2
2,0,1,1
2,0,2,1
2,0,3,0
2,0,4,0
2,0,5,1
2,0,6,2
2,0,7,3
2,0,8,4
2,0,9,3
2,0,10,2
2,0,11,2
2,0,12,0
2,0,13,1
2,0,14,2
2,0,15,1
2,0,16,0
2,0,17,2
2,0,18,2
2,0,19,1
2,0,20,2
2,0,21,3
2,0,22,1
2,0,23,1
2,0,24,1
2,0,25,2
2,0,26,1
2,0,27,1
2,0,28,2
2,0,29,3
2,0,30,1
2,0,31,0
2,0,32,0
2,0,33,0
2,0,34,0
2,0,35,0
2,0,36,0
2,0,37,0
2,0,38,2
2,0,39,2
2,0,40,3
2,0,41,1
2,0,42,3
2,0,43,0
2,0,44,0
2,0,45,1
2,0,46,0
2,0,47,1
2,0,48,0
2,0,49,0
2,0,50,2
2,0,51,2
2,0,52,0
2,0,53,1
2,0,54,1
2,0,55,0
2,0,56,1
2,0,57,2
2,0,58,0
2,0,59,0
2,0,60,0
2,0,61,0
2,0,62,1
2,0,63,0
2,0,64,0
2,0,65,0
2,0,66,0
2,0,67,1
2,0,68,0
2,0,69,0
2,0,70,1
2,0,71,1
2,0,72,0
2,0,73,2
2,0,74,3
2,0,75,1
2,0,76,2
2,0,77,1
2,0,78,2
2,0,79,1
3,0,0,2
3,0,1,1
3,0,2,0
3,0,3,0
3,0,4,0
3,0,5,1
3,0,6,1
3,0,7,0
3,0,8,3
3,0,9,5
3,0,10,2
3,0,11,3
3,0,12,2
3,0,13,1
3,0,14,2
3,0,15,3
3,0,16,3
3,0,17,3
3,0,18,3
3,0,19,2
3,0,20,5
3,0,21,6
3,0,22,4
3,0,23,3
3,0,24,3
3,0,25,1
3,0,26,1
3,0,27,3
3,0,28,2
3,0,29,1
3,0,30,0
3,0,31,0
3,0,32,0
3,0,33,0
3,0,34,0
3,0,35,0
3,0,36,0
3,0,37,0
3,0,38,1
3,0,39,3
3,0,40,0
3,0,41,1
3,0,42,4
3,0,43,0
3,0,44,0
3,0,45,1
3,0,46,0
3,0,47,0
3,0,48,0
3,0,49,0
3,0,50,1
3,0,51,2
3,0,52,2
3,0,53,1
3,0,54,0
3,0,55,0
3,0,56,0
3,0,57,3
3,0,58,1
3,0,59,0
3,0,60,0
3,0,61,1
3,0,62,1
3,0,63,0
3,0,64,0
3,0,65,0
3,0,66,1
3,0,67,2
3,0,68,0
3,0,69,0
3,0,70,1
3,0,71,0
3,0,72,2
3,0,73,3
3,0,74,3
3,0,75,3
3,0,76,2
3,0,77,2
3,0,78,2
3,0,79,2
4,0,0,0
4,0,1,1
4,0,2,0
4,0,3,0
4,0,4,0
4,0,5,1
4,0,6,2
4,0,7,2
4,0,8,1
4,0,9,3
4,0,10,5
4,0,11,4
4,0,12,4
4,0,13,4
4,0,14,4
4,0,15,3
4,0,16,2
4,0,17,1
4,0,18,2
4,0,19,0
4,0,20,3
4,0,21,2
4,0,22,3
4,0,23,4
4,0,24,1
4,0,25,0
4,0,26,3
4,0,27,4
4,0,28,0
4,0,29,1
4,0,30,0
4,0,31,0
4,0,32,0
4,0,33,0
4,0,34,0
4,0,35,0
4,0,36,0
4,0,37,0
4,0,38,1
4,0,39,4
4,0,40,0
4,0,41,1
4,0,42,4
4,0,43,0
4,0,44,0
4,0,45,1
4,0,46,0
4,0,47,0
4,0,48,1
4,0,49,0
4,0,50,1
4,0,51,2
4,0,52,2
4,0,53,1
4,0,54,0
4,0,55,1
4,0,56,2
4,0,57,2
4,0,58,2
4,0,59,0
4,0,60,0
4,0,61,1
4,0,62,0
4,0,63,0
4,0,64,0
4,0,65,1
4,0,66,1
4,0,67,3
4,0,68,0
4,0,69,0
4,0,70,2
4,0,71,2
4,0,72,2
4,0,73,3
4,0,74,2
4,0,75,0
4,0,76,1
4,0,77,2
4,0,78,0
4,0,79,1
5,0,0,1
5,0,1,2
5,0,2,1
5,0,3,0
5,0,4,1
5,0,5,2
5,0,6,2
5,0,7,4
5,0,8,4
5,0,9,1
5,0,10,3
5,0,11,4
5,0,12,2
5,0,13,3
5,0,14,2
5,0,15,4
5,0,16,2
5,0,17,0
5,0,18,1
5,0,19,1
5,0,20,3
5,0,21,3
5,0,22,1
5,0,23,4
5,0,24,5
5,0,25,3
5,0,26,2
5,0,27,2
5,0,28,0
5,0,29,1
5,0,30,0
5,0,31,0
5,0,32,0
5,0,33,0
5,0,34,0
5,0,35,0
5,0,36,0
5,0,37,2
5,0,38,3
5,0,39,4
5,0,40,2
5,0,41,2
5,0,42,3
5,0,43,0
5,0,44,0
5,0,45,1
5,0,46,1
5,0,47,0
5,0,48,1
5,0,49,0
5,0,50,2
5,0,51,2
5,0,52,0
5,0,53,1
5,0,54,2
5,0,55,2
5,0,56,1
5,0,57,0
5,0,58,2
5,0,59,1
5,0,60,0
5,0,61,1
5,0,62,0
5,0,63,0
5,0,64,0
5,0,65,1
5,0,66,0
5,0,67,2
5,0,68,1
5,0,69,2
5,0,70,3
5,0,71,1
5,0,72,2
5,0,73,2
5,0,74,1
5,0,75,1
5,0,76,1
5,0,77,2
5,0,78,2
5,0,79,1
6,0,0,1
6,0,1,2
6,0,2,3
6,0,3,3
6,0,4,3
6,0,5,2
6,0,6,1
6,0,7,2
6,0,8,3
6,0,9,2
6,0,10,1
6,0,11,3
6,0,12,3
6,0,13,3
6,0,14,2
6,0,15,2
6,0,16,4
6,0,17,3
6,0,18,0
6,0,19,4
6,0,20,2
6,0,21,4
6,0,22,3
6,0,23,3
6,0,24,4
6,0,25,2
6,0,26,3
6,0,27,2
6,0,28,1
6,0,29,1
6,0,30,1
6,0,31,1
6,0,32,0
6,0,33,0
6,0,34,0
6,0,35,0
6,0,36,1
6,0,37,2
6,0,38,3
6,0,39,4
6,0,40,2
6,0,41,1
6,0,42,2
6,0,43,0
6,0,44,0
6,0,45,1
6,0,46,1
6,0,47,0
6,0,48,0
6,0,49,1
6,0,50,2
6,0,51,1
6,0,52,1
6,0,53,0
6,0,54,3
6,0,55,3
6,0,56,1
6,0,57,1
6,0,58,1
6,0,59,1
6,0,60,0
6,0,61,1
6,0,62,0
6,0,63,0
6,0,64,1
6,0,65,1
6,0,66,0
6,0,67,2
6,0,68,1
6,0,69,3
6,0,70,2
6,0,71,2
6,0,72,3
6,0,73,1
6,0,74,1
6,0,75,2
6,0,76,3
6,0,77,3
6,0,78,3
6,0,79,2
7,0,0,1
7,0,1,2
7,0,2,3
7,0,3,4
7,0,4,1
7,0,5,0
7,0,6,0
7,0,7,1
7,0,8,2
7,0,9,1
7,0,10,1
7,0,11,0
7,0,12,2
7,0,13,3
7,0,14,3
7,0,15,2
7,0,16,2
7,0,17,5
7,0,18,4
7,0,19,5
7,0,20,0
7,0,21,2
7,0,22,3
7,0,23,2
7,0,24,1
7,0,25,4
7,0,26,5
7,0,27,1
7,0,28,2
7,0,29,1
7,0,30,1
7,0,31,0
7,0,32,0
7,0,33,0
7,0,34,2
7,0,35,1
7,0,36,1
7,0,37,3
7,0,38,4
7,0,39,4
7,0,40,1
7,0,41,1
7,0,42,2
7,0,43,0
7,0,44,0
7,0,45,1
7,0,46,1
7,0,47,0
7,0,48,1
7,0,49,1
7,0,50,0
7,0,51,0
7,0,52,1
7,0,53,3
7,0,54,4
7,0,55,3
7,0,56,0
7,0,57,0
7,0,58,1
7,0,59,2
7,0,60,2
7,0,61,1
7,0,62,0
7,0,63,0
7,0,64,2
7,0,65,1
7,0,66,1
7,0,67,3
7,0,68,3
7,0,69,4
7,0,70,2
7,0,71,3
7,0,72,3
7,0,73,2
7,0,74,1
7,0,75,1
7,0,76,0
7,0,77,0
7,0,78,0
7,0,79,2
8,0,0,0
8,0,1,1
8,0,2,3
8,0,3,4
8,0,4,1
8,0,5,0
8,0,6,0
8,0,7,1
8,0,8,2
8,0,9,2
8,0,10,2
8,0,11,1
8,0,12,0
8,0,13,2
8,0,14,2
8,0,15,2
8,0,16,3
8,0,17,4
8,0,18,2
8,0,19,3
8,0,20,2
8,0,21,3
8,0,22,3
8,0,23,1
8,0,24,0
8,0,25,0
8,0,26,3
8,0,27,1
8,0,28,3
8,0,29,1
8,0,30,1
8,0,31,1
8,0,32,0
8,0,33,1
8,0,34,1
8,0,35,2
8,0,36,3
8,0,37,3
8,0,38,1
8,0,39,2
8,0,40,1
8,0,41,1
8,0,42,2
8,0,43,0
8,0,44,0
8,0,45,1
8,0,46,1
8,0,47,0
8,0,48,1
8,0,49,0
8,0,50,0
8,0,51,0
8,0,52,3
8,0,53,4
8,0,54,1
8,0,55,0
8,0,56,0
8,0,57,0
8,0,58,0
8,0,59,1
8,0,60,2
8,0,61,0
8,0,62,1
8,0,63,2
8,0,64,2
8,0,65,0
8,0,66,1
8,0,67,2
8,0,68,2
8,0,69,4
8,0,70,1
8,0,71,1
8,0,72,1
8,0,73,1
8,0,74,1
8,0,75,1
8,0,76,1
8,0,77,0
8,0,78,2
8,0,79,2
9,0,0,0
9,0,1,2
9,0,2,1
9,0,3,1
9,0,4,1
9,0,5,1
9,0,6,1
9,0,7,0
9,0,8,1
9,0,9,1
9,0,10,1
9,0,11,2
9,0,12,2
9,0,13,1
9,0,14,2
9,0,15,2
9,0,16,4
9,0,17,2
9,0,18,3
9,0,19,3
9,0,20,2
9,0,21,3
9,0,22,3
9,0,23,1
9,0,24,0
9,0,25,0
9,0,26,2
9,0,27,1
9,0,28,2
9,0,29,2
9,0,30,1
9,0,31,1
9,0,32,1
9,0,33,2
9,0,34,0
9,0,35,3
9,0,36,3
9,0,37,2
9,0,38,4
9,0,39,2
9,0,40,2
9,0,41,1
9,0,42,2
9,0,43,0
9,0,44,0
9,0,45,1
9,0,46,0
9,0,47,0
9,0,48,0
9,0,49,0
9,0,50,0
9,0,51,0
9,0,52,2
9,0,53,1
9,0,54,0
9,0,55,0
9,0,56,0
9,0,57,0
9,0,58,0
9,0,59,1
9,0,60,2
9,0,61,1
9,0,62,1
9,0,63,1
9,0,64,0
9,0,65,0
9,0,66,2
9,0,67,1
9,0,68,2
9,0,69,3
9,0,70,1
9,0,71,2
9,0,72,1
9,0,73,1
9,0,74,1
9,0,75,0
9,0,76,2
9,0,77,2
9,0,78,2
9,0,79,1
10,0,0,1
10,0,1,1
10,0,2,0
10,0,3,1
10,0,4,1
10,0,5,0
10,0,6,1
10,0,7,1
10,0,8,1
10,0,9,1
10,0,10,1
10,0,11,0
10,0,12,2
10,0,13,0
10,0,14,2
10,0,15,2
10,0,16,3
10,0,17,3
10,0,18,3
10,0,19,3
10,0,20,5
10,0,21,0
10,0,22,3
10,0,23,3
10,0,24,2
10,0,25,0
10,0,26,2
10,0,27,1
10,0,28,1
10,0,29,0
10,0,30,0
10,0,31,1
10,0,32,2
10,0,33,2
10,0,34,1
10,0,35,2
10,0,36,2
10,0,37,0
10,0,38,3
10,0,39,2
10,0,40,2
10,0,41,1
10,0,42,1
10,0,43,1
10,0,44,0
10,0,45,1
10,0,46,0
10,0,47,0
10,0,48,0
10,0,49,1
10,0,50,1
10,0,51,2
10,0,52,4
10,0,53,3
10,0,54,1
10,0,55,1
10,0,56,1
10,0,57,0
10,0,58,0
10,0,59,2
10,0,60,1
10,0,61,1
10,0,62,1
10,0,63,0
10,0,64,0
10,0,65,1
10,0,66,3
10,0,67,1
10,0,68,2
10,0,69,3
10,0,70,3
10,0,71,2
10,0,72,0
10,0,73,0
10,0,74,1
10,0,75,2
10,0,76,2
10,0,77,0
10,0,78,0
10,0,79,1
11,0,0,2
11,0,1,1
11,0,2,1
11,0,3,1
11,0,4,1
11,0,5,0
11,0,6,0
11,0,7,1
11,0,8,2
11,0,9,0
11,0,10,1
11,0,11,0
11,0,12,1
11,0,13,1
11,0,14,0
11,0,15,2
11,0,16,3
11,0,17,5
11,0,18,5
11,0,19,3
11,0,20,4
11,0,21,2
11,0,22,2
11,0,23,1
11,0,24,2
11,0,25,1
11,0,26,3
11,0,27,0
11,0,28,0
11,0,29,0
11,0,30,0
11,0,31,2
11,0,32,4
11,0,33,1
11,0,34,0
11,0,35,2
11,0,36,2
11,0,37,1
11,0,38,2
11,0,39,2
11,0,40,3
11,0,41,2
11,0,42,2
11,0,43,1
11,0,44,1
11,0,45,2
11,0,46,0
11,0,47,0
11,0,48,0
11,0,49,0
11,0,50,0
11,0,51,2
11,0,52,1
11,0,53,2
11,0,54,1
11,0,55,0
11,0,56,0
11,0,57,1
11,0,58,0
11,0,59,3
11,0,60,1
11,0,61,2
11,0,62,3
11,0,63,1
11,0,64,4
11,0,65,5
11,0,66,5
11,0,67,2
11,0,68,3
11,0,69,2
11,0,70,4
11,0,71,1
