# mesh name: boxMesh_1
# primitive scorer name: eD
# iX, iY, iZ, value [Gy]
0,0,0,8.392181199840438e-09
0,1,0,8.033212759975944e-09
0,2,0,9.698107599252133e-09
0,3,0,8.736964797465056e-09
0,4,0,9.8349421048704e-09
0,5,0,9.563483804408894e-09
0,6,0,9.486744558034787e-09
0,7,0,1.031458775696764e-08
0,8,0,1.015831230133004e-08
0,9,0,9.608869111537585e-09
0,10,0,8.926559491136118e-09
0,11,0,9.764335655329815e-09
0,12,0,1.044047466501241e-08
0,13,0,7.921706992016894e-09
0,14,0,8.817974539151936e-09
0,15,0,1.097664077747743e-08
0,16,0,1.030177848087097e-08
0,17,0,8.925335996645989e-09
0,18,0,1.068924082188024e-08
0,19,0,8.394508065280282e-09
0,20,0,9.343586553276321e-09
0,21,0,6.541087309813665e-09
0,22,0,7.769192044417546e-09
0,23,0,8.361496294659794e-09
0,24,0,9.315536595228412e-09
0,25,0,8.959167031494981e-09
0,26,0,8.230868749227539e-09
0,27,0,9.305281207736612e-09
0,28,0,9.389763299845593e-09
0,29,0,1.121345610913584e-08
0,30,0,1.236618394136581e-08
0,31,0,1.102751757828097e-08
0,32,0,9.968054849005557e-09
0,33,0,1.171411972342564e-08
0,34,0,1.127375161301669e-08
0,35,0,1.120664267693068e-08
0,36,0,1.18608467449555e-08
0,37,0,1.275811805989276e-08
0,38,0,1.122956690088106e-08
0,39,0,1.186317286748973e-08
0,40,0,1.095801085694451e-08
0,41,0,9.635322459211359e-09
0,42,0,9.590550810787112e-09
0,43,0,1.113789654219242e-08
0,44,0,1.026521107451056e-08
0,45,0,1.181014972046572e-08
0,46,0,1.299832680316863e-08
0,47,0,1.234954874245871e-08
0,48,0,1.264509965235474e-08
0,49,0,1.268336324700138e-08
0,50,0,1.223833803721527e-08
0,51,0,1.126121519510093e-08
0,52,0,1.23958793037034e-08
0,53,0,1.140562713755143e-08
0,54,0,1.049686184197959e-08
0,55,0,1.146296303024428e-08
